,Artist,Track,ID
298,Weyes Blood,A Lot's Gonna Change,['5qspeKX1xBacLJMm2t3Yc0']
299,Acid Ghost,I Don't Need You,['7IWdKDoQ3QNaF790h3skyc']
300,Cocteau Twins,When Mama Was Moth,['51zLiDo0u9xsbVXvUxBf7n']
301,Coldplay,Speed of Sound,['7clUVcSOtkNWa58Gw5RfD4']
302,Echo & the Bunnymen,Clay,['6nSmaZlqlwJjgCtJbsVdhE']
303,Echo & the Bunnymen,Porcupine,['2Fb4L9ynq0ywvpyALxbxbU']
304,Echo & the Bunnymen,The Disease,['3xz9fLCEwHJpWJdiwfy2wz']
305,Franz Ferdinand,Evil Eye,['6NlE71TbUglmKQVLhE1H8R']
306,Franz Ferdinand,Love Illumination,['06Qha323s06okpZ4LmMX7P']
307,Franz Ferdinand,No You Girls,['37CBHPCzV1rizPrxRUyR72']
308,Halsey,Strange Love,['6zQq3TrWnilO8SR1fgvTeD']
309,Horsebeach,alone,['1c7A0uQ4oy7IR2VVcMX1j9']
310,Horsebeach,Broken Light,['61q95S1jFPa357luzPFJzE']
311,Joy Division,I Remember Nothing,['2DupCOA5GmL7xqhbGBYWiS']
312,Kingston Wall,Time,['7eGJgvdrTtu3IPadB7jvWM']
313,Linkin Park,Papercut,['1Vej0qeQ3ioKwpI6FUbRv1']
314,Maroon 5,This Love,['6ECp64rv50XVz93WvxXMGF']
315,Nelly Furtado,Say It Right,['5AtFypwxB2ShXSxNj12dEd']
316,Nick Drake,Day Is Done,['66790TBuwlIrGxWWTVc6yl']
317,Nine Inch Nails,Right Where It Belongs V.2,[]
318,Pixies,La La Love You,['0MmPMrHMVmxEzsJMPd3yTh']
319,Portishead,Wandering Star,['7h14W1uQK7sjpVI1oVTobt']
320,Queen,Another One Bites the Dust,['57JVGBtBLCfHw2muk5416J']
321,Radiohead,Reckoner,['02ppMPbg1OtEdHgoPqoqju']
322,Rage Against the Machine,Bombtrack,['2rBHnIxbhkMGLpqmsNX91M']
323,Slowdive,Avalyn I,['7eA6LDdLF7Tnw8cBDxSu0Y']
324,Soundgarden,Fell on Black Days,['1wlKw9NAWVWpx7OIAyg9EA']
325,Soundgarden,The Day I Tried to Live,['78YJJJH55MSyk7547100sW']
326,Still Corners,Black Lagoon,['0wA37T62tYBAWl5lKIcOxm']
327,Styx,Suite Madam Blue,['1gufwupdoA0lqEgg66JUPD']
328,Talk Talk,Have You Heard the News - 1997 Remaster,['06HjuPU7sr8NF2jSqqq5DG']
