,Artist,Track,ID,energy,acousticness,valence,danceability,tempo,Genre
363,The Jesus and Mary Chain,Nine Million Rainy Days,77UPPPUsW9xaoA9rFYaJuO,0.7290000000000001,0.0071200000000000005,0.371,0.456,178.797,alternative
364,The Kinks,Sunny Afternoon,0DQqzCHlPyKQXfF8uL01SI,0.465,0.102,0.49200000000000005,0.595,124.991,60s
365,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,0.521,0.0678,0.337,0.588,85.012,indie
366,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.807,0.0495,0.39799999999999996,0.612,124.053,indie
367,The Stone Roses,I Wanna Be Adored,758wEKVqfYopJIHYWdLVd4,0.862,0.0121,0.591,0.49200000000000005,112.598,britpop
368,The Velvet Underground,Candy Says,2Vp0ue7NNLHFF6RKSdOEuN,0.0632,0.94,0.24,0.525,79.273,classic rock
369,The Velvet Underground,Cool It Down,7tB0WAex7rPRsOz5ymMIxd,0.631,0.22699999999999998,0.9590000000000001,0.6809999999999999,129.222,rock
370,The Verve,Appalachian Springs,4HiicaYdlfP0gJFc4TonMA,0.5539999999999999,0.11900000000000001,0.212,0.26899999999999996,142.893,rock
371,Weyes Blood,Everyday,2VYqgye3Wf9ySE4qYM3iJn,0.57,0.26899999999999996,0.423,0.483,112.975,pop
372,Weyes Blood,Something to Believe,30TCAxiC8zVb5NVdUoUuCS,0.391,0.625,0.188,0.31,136.964,female vocalists
373,Whitesnake,Here I Go Again,1qOU8KzFifXE9YrgjVwYvc,0.823,0.0117,0.244,0.292,89.939,classic rock
374,Andy Gibb,Shadow Dancing,3unwRUV5qbjMmH3NJtaODy,0.598,0.15,0.9520000000000001,0.74,101.93299999999999,Disco
375,Arctic Monkeys,Mardy Bum,3geFzA6VBSNZUTmV3bCry6,0.599,0.0288,0.312,0.634,112.215,indie rock
376,Billy Bragg,California Stars,38paDDziQ57k1f4VfKTeGk,0.736,0.42200000000000004,0.723,0.622,110.24,folk
377,Black Sabbath,Snowblind,5w091st8zPd8c01LFzTY8B,0.7509999999999999,0.000196,0.604,0.435,116.956,heavy metal
378,Bloc Party,Helicopter,7vjzFWG4neQ9YYMN9yZ9hr,0.9520000000000001,0.000139,0.39799999999999996,0.47,170.058,indie
380,Bronski Beat,Smalltown Boy,5vmRQ3zELMLUQPo2FLQ76x,0.584,0.28800000000000003,0.9390000000000001,0.685,134.546,80s
381,Cage the Elephant,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0,0.777,0.0265,0.306,0.44,148.02700000000002,alternative rock
382,Cocteau Twins,Five Ten Fiftyfold,18Rbm3tXY2aCqLwRQL9gHu,0.7440000000000001,0.00011499999999999999,0.16399999999999998,0.308,90.02,ethereal
383,Coldplay,Clocks,0BCPKOYdS2jbQ8iyB56Zns,0.7490000000000001,0.599,0.255,0.5770000000000001,130.97,rock
384,Coldplay,Trouble,0R8P9KfGJCDULmlEoBagcO,0.546,0.18899999999999997,0.195,0.565,139.757,alternative
385,Coldplay,X&Y,2rxp56vVQp1zzumJ0eHLmw,0.561,0.563,0.0818,0.225,153.24,rock
386,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,0.6609999999999999,0.0023899999999999998,0.285,0.429,173.372,rock
387,Daft Punk,Instant Crush (feat. Julian Casablancas),2cGxRwrMyEAp8dEbuZaVv6,0.585,0.0422,0.518,0.775,109.94200000000001,electronic
388,Depeche Mode,Sweetest Perfection,2YGFDRqaOnejsnTkKe4VKE,0.785,0.013000000000000001,0.568,0.62,101.814,new wave
389,Depeche Mode,Useless,1BjWRLxcpNwVnjYWzhOTIF,0.649,0.015,0.7390000000000001,0.617,94.14399999999999,electronic
390,Depeche Mode,Waiting for the Night,6KZaXNcnsHYWLT9b2Rdy6H,0.267,0.879,0.11599999999999999,0.381,182.325,electronic
391,DIIV,Doused,4QDbzpmRA6atTEEE2W7j7k,0.868,0.0674,0.7440000000000001,0.379,169.984,shoegaze
392,Dua Lipa,Future Nostalgia,6zrJLhslleCHby0wbUnvVy,0.813,0.00618,0.8590000000000001,0.875,114.993,pop
393,Dua Lipa,Hallucinate,1nYeVF5vIBxMxfPoL0SIWg,0.69,0.033,0.627,0.627,122.053,pop
394,Dua Lipa,Swan Song,5600nq7TiBraBX2jobyJ3l,0.821,0.00579,0.509,0.588,188.09799999999998,Soundtrack
395,Echo & the Bunnymen,Turquoise Days,1KcyUwdidCGAmhCOftm0tw,0.33399999999999996,0.00414,0.316,0.696,124.39399999999999,post-punk
398,Joy Division,I Remember Nothing - 2007 Remaster,2DupCOA5GmL7xqhbGBYWiS,0.42100000000000004,0.0548,0.302,0.39799999999999996,144.708,alternative
